# WX font language scan cache v2 (tab-separated). Regenerated by bridge “Rescan fonts”.
.CJK Symbols Fallback HK Regular	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback HK Semibold	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback HK Thin	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback JA Bold	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback JA Heavy	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback JA Light	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback JA Medium	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback JA Regular	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback JA Semibold	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback JA Thin	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback MO Bold	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback MO Heavy	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback MO Light	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback MO Medium	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback MO Regular	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback MO Semibold	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback MO Thin	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback SC Bold	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback SC Heavy	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback SC Light	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback SC Medium	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback SC Regular	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback SC Semibold	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback SC Thin	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback TC Bold	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback TC Heavy	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback TC Light	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback TC Medium	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback TC Regular	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback TC Semibold	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback TC Thin	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch HK Bold	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch HK Heavy	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch HK Light	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch HK Medium	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch HK Regular	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch HK Semibold	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch HK Thin	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch JA Bold	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch JA Heavy	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch JA Light	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch JA Medium	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch JA Regular	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch JA Semibold	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch JA Thin	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch MO Bold	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch MO Heavy	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch MO Light	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch MO Medium	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch MO Regular	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch MO Semibold	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch MO Thin	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch SC Bold	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch SC Heavy	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch SC Light	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch SC Medium	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch SC Regular	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch SC Semibold	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch SC Thin	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch TC Bold	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch TC Heavy	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch TC Light	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch TC Medium	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch TC Regular	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch TC Semibold	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.CJK Symbols Fallback Watch TC Thin	/System/Library/Fonts/CJKSymbolsFallback.ttc	
.Damascus PUA	/System/Library/Fonts/Supplemental/Damascus.ttc	
.Damascus PUA Bold	/System/Library/Fonts/Supplemental/Damascus.ttc	
.Damascus PUA Light	/System/Library/Fonts/Supplemental/Damascus.ttc	
.Damascus PUA Medium	/System/Library/Fonts/Supplemental/Damascus.ttc	
